TIME,SUB/PUB,Topic,Payload
2022-10-17 19:00:41.953,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/floor,"b'{""floor"": 2}'"
2022-10-17 19:00:49.342,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/arrival,"b'{""info"": 1, ""floor"": 3}'"
2022-10-17 19:00:55.843,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 1}'"
2022-10-17 19:00:57.891,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 0}'"
2022-10-17 19:01:06.413,PUB,/elsa/elsa-1/system/status,"b'{""enabled"": true, ""elevators"": [{""id"": ""9de1c1eb-4e02-11ed-b379-dcfb488dcda0"", ""enabled"": true}]}'"
2022-10-17 19:01:17.722,PUB,/elsa/elsa-1/system/status,"b'{""enabled"": true, ""elevators"": [{""id"": ""a49f3afa-4e02-11ed-b132-dcfb488dcda0"", ""enabled"": true}]}'"
2022-10-17 19:01:31.696,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/floor,"b'{""floor"": 3}'"
